15,73,34,89,164,1,14,58,30,11,2,129,8,22,104,7,12,2,4,5,11,0,2,49,2,41,4,54,34,2,4,7,6
14,61,23,95,116,1,11,71,32,10,6,117,11,28,117,12,21,2,5,3,4,2,2,56,2,65,4,55,42,0,4,2,6
17,69,30,59,127,2,14,45,46,9,0,127,10,18,130,8,42,0,1,3,7,3,2,41,2,83,0,47,46,2,2,5,3
36,82,25,31,140,0,31,34,49,13,0,65,7,4,98,7,58,0,0,8,6,2,0,49,5,130,3,52,53,1,2,7,2
39,69,13,33,121,1,31,23,37,8,1,62,3,8,134,9,64,0,2,4,2,7,0,50,0,152,1,40,74,2,5,5,0
40,75,13,15,90,1,40,17,66,9,6,60,4,3,159,11,75,0,1,3,4,4,0,40,2,146,3,39,56,0,12,6,0
52,93,5,3,65,0,36,14,62,5,13,44,5,4,126,7,79,0,0,6,6,3,0,36,2,215,1,40,56,2,11,8,1
59,73,6,1,57,3,59,7,51,8,32,49,6,2,123,10,79,0,5,8,2,7,0,22,0,208,0,29,53,4,27,7,3
59,105,7,0,36,0,82,3,59,4,27,33,8,1,110,6,78,0,6,4,5,1,2,16,2,208,1,35,46,2,44,8,2
49,108,7,1,39,2,70,8,41,10,28,30,6,3,98,12,72,0,4,4,7,4,2,13,5,224,1,36,69,0,44,3,0
50,127,7,0,25,1,71,13,38,6,45,47,12,5,93,7,70,0,2,2,6,1,2,16,5,183,0,63,63,5,27,5,3
48,92,6,2,38,4,70,9,51,5,19,42,7,3,139,6,84,0,4,7,5,2,1,18,3,153,7,49,69,0,49,5,3
42,107,9,2,39,1,66,5,51,6,21,53,6,3,124,9,95,0,3,9,4,4,1,17,2,155,3,48,65,1,40,9,0
45,70,14,18,118,0,19,12,33,10,16,42,6,6,160,8,91,0,7,9,4,0,2,34,4,117,3,40,73,2,27,8,2
63,84,7,23,131,0,26,12,41,10,14,28,6,10,116,11,69,0,5,3,4,1,2,34,2,138,2,46,68,6,30,5,3
45,76,5,40,141,0,12,27,30,7,5,73,7,13,121,10,56,0,3,5,8,4,1,32,1,104,2,63,87,2,14,6,0
42,55,16,39,130,5,8,31,19,9,0,97,14,28,152,6,40,9,8,3,7,2,1,33,3,91,1,53,79,6,2,6,5
